#frequency,iteration,mesh size,matrix size,converged,final error,elapsed time (s),modal impedance calculation,mode count,alpha[1] db/m,beta[1]/ko,alpha[2] db/m,beta[2]/ko,alpha[3] db/m,beta[3]/ko,alpha[4] db/m,beta[4]/ko,real(Z[1;1]),imag(Z[1;1]),
9000000000,5,134,3589,1,1.51112463963641e-09,3.099198057,1,4,-7.07634484204085e-14,0.685407962562279,2439.7482187768,-4.20783983783834e-16,2439.74821960705,-2.13397804360979e-14,3184.01215654018,8.34971337576844e-17,977.144760579182,2.09897763497356e-14,
10000000000,5,134,3589,1,1.61123989067146e-09,3.469233414,1,4,-4.24453337500331e-13,0.755406579840605,2307.02007792063,4.31628029853892e-16,2307.02007879896,-1.33495861236355e-14,3083.48888142964,-1.5254755461488e-15,886.599107487676,-2.98929213297444e-13,
